formula,prediction,density,Density Score,index
SrLi4N2,85.739,0.122,2.560,8126
LiLuPt2,137.356,0.163,2.354,4478
Ca3Au,30.658,0.110,2.148,1065
Li3Au,27.442,0.115,2.020,4140
LiErGe,51.174,0.130,1.992,4381
Rb3Mg,18.701,0.112,1.977,6861
Li7Sn2,22.284,0.117,1.927,4239
Sr6Sn2NO,58.981,0.138,1.926,8034
Sr3MnN3,119.998,0.184,1.729,8007
LiB,112.101,0.180,1.726,4293
Ca3BiSb,37.198,0.140,1.639,1069
Er2ZnRu,63.911,0.165,1.455,2366
Yb2SbAu,47.286,0.160,1.357,9975
Sm2AgSn,57.338,0.166,1.349,7571
Nd2CdIn,59.336,0.170,1.305,6000
HoTmMg2,54.975,0.169,1.265,3325
Yb2AgSn,46.886,0.165,1.261,9954
LiTmIn2,57.848,0.172,1.240,4641
Pr2ZnHg,52.407,0.170,1.228,6558
CaSmZn2,52.124,0.171,1.207,1307
NdTmTl2,43.398,0.173,1.049,6155
Li4UO5,72.112,0.192,1.010,4204
LiTmHg2,38.114,0.173,0.995,4640
ErB2Rh2C,204.481,0.281,0.807,2384
Ca2MnO4,136.141,0.250,0.620,1030
Ho2CF2,97.945,0.232,0.528,3185
Al(SnO2)2,156.446,0.269,0.480,139
MnAlRh2,177.269,0.283,0.435,5266
BeGaRh2,174.724,0.283,0.409,852
Hf4N3,180.195,0.287,0.395,2946
TbGaRh2,169.767,0.282,0.383,8438
TmHfRu2,163.754,0.278,0.379,9217
ScNbOs2,166.579,0.282,0.331,7384
Mn3O4,144.282,0.270,0.307,5230
CrPO4,137.550,0.266,0.306,1787
Cs2CrCl4,91.315,0.240,0.287,1826
Ga2CoS4,142.667,0.271,0.285,2674
Cr2FeS4,152.069,0.277,0.271,1698
LiAlPt2,146.808,0.276,0.229,4281
U2CrN3,158.526,0.286,0.173,9287
Nd(CoSi)2,146.602,0.279,0.164,5981
CeIr2,147.937,0.281,0.138,1545
SF6,59.051,0.231,0.079,7074
Ho2Cr2C3,130.930,0.274,0.071,3189
NdBPd3,146.094,0.284,0.060,6045
CaCu2O3,112.642,0.264,0.052,1177
Sm2Zr2O7,94.579,0.256,0.018,7608
P3N5,120.212,0.271,0.017,6305
Na2Hf2O5,82.055,0.249,0.008,5475
ThSiO4,114.323,0.268,0.002,8639
Fe2W,139.868,0.283,-0.002,2569
MnSbPd2,139.040,0.284,-0.016,5373
Fe3Sn2,138.407,0.283,-0.017,2587
CeNiC2,134.534,0.281,-0.017,1560
MgSiN2,120.792,0.275,-0.056,5115
Rb2Cr(BrCl)2,60.418,0.240,-0.074,6763
CaPd3O4,104.513,0.267,-0.090,1270
Pr(CoSi)2,122.798,0.278,-0.102,6525
DyIr3,123.546,0.281,-0.141,2263
Ti2GaC,131.099,0.286,-0.168,8693
ZrH3,77.824,0.256,-0.191,10471
CrGaP2,114.981,0.278,-0.196,1766
P2Pb2O7,91.166,0.264,-0.198,6298
Ho(SiRu)2,115.745,0.280,-0.212,3178
V2C,130.074,0.289,-0.221,9401
Mg(BeN)2,108.971,0.277,-0.232,4839
Ni2Ge,121.386,0.284,-0.233,6171
TbNi2,107.698,0.279,-0.302,8458
Cs2RbInF6,40.059,0.240,-0.324,1888
HfPbO3,87.050,0.268,-0.324,3060
RbSbO3,46.448,0.246,-0.365,6979
CuAs,104.046,0.281,-0.370,2091
TiBiRh,113.369,0.288,-0.401,8848
MgS,85.272,0.272,-0.423,5093
DyCuSeO,68.976,0.264,-0.447,2242
Sc2CoRu,102.565,0.284,-0.455,7168
ZnCo3C,100.799,0.283,-0.461,10231
K2SnCl6,30.395,0.243,-0.481,3510
YNiSb,76.327,0.270,-0.482,9851
BaTiS3,43.394,0.251,-0.494,751
LaCu2,94.420,0.282,-0.503,3852
BaTe2,27.133,0.242,-0.515,744
SmMn2O5,72.132,0.270,-0.528,7724
LiZnAu2,80.984,0.275,-0.529,4682
Cs2PbCl6,25.513,0.244,-0.568,1870
YMg2,75.663,0.275,-0.582,9816
TaNiGe,95.557,0.287,-0.592,8321
ErCdCu4,92.111,0.286,-0.614,2394
Sc3AlC,90.584,0.287,-0.650,7232
AsPdSe,72.293,0.278,-0.690,352
Sc,57.995,0.273,-0.755,7129
Cu3P,71.608,0.283,-0.795,2071
Sr(ZnGe)2,60.779,0.277,-0.799,7904
Sc2CdAg,67.966,0.285,-0.873,7161
In2Se3,38.212,0.268,-0.884,3346
ZrGeTe,61.688,0.282,-0.888,10467
Ba(CdAs)2,49.723,0.275,-0.891,422
CdCl2,11.175,0.262,-1.083,1387
HoCd3,28.161,0.278,-1.205,3230
TbCd3,28.515,0.278,-1.208,8415
