formula,Density Score,Peak Score
SrLi4N2,2.560,1.596
LiLuPt2,2.354,2.369
Ca3Au,2.148,-0.402
Li3Au,2.020,-0.184
LiErGe,1.992,0.202
Rb3Mg,1.977,-0.201
Li7Sn2,1.927,-0.094
Sr6Sn2NO,1.926,0.482
Sr3MnN3,1.729,1.816
LiB,1.726,1.642
Ca3BiSb,1.639,-0.253
Er2ZnRu,1.455,-0.024
Yb2SbAu,1.357,0.164
Sm2AgSn,1.349,0.200
Nd2CdIn,1.305,0.314
HoTmMg2,1.265,0.299
Yb2AgSn,1.261,0.152
LiTmIn2,1.240,0.397
Pr2ZnHg,1.228,0.109
CaSmZn2,1.207,0.201
NdTmTl2,1.049,-0.079
Li4UO5,1.010,0.168
LiTmHg2,0.995,-0.352
ErB2Rh2C,0.807,1.288
Ca2MnO4,0.620,2.092
Ho2CF2,0.528,0.771
Al(SnO2)2,0.480,1.444
MnAlRh2,0.435,0.471
BeGaRh2,0.409,0.395
Hf4N3,0.395,0.567
TbGaRh2,0.383,1.327
TmHfRu2,0.379,0.248
ScNbOs2,0.331,1.071
Mn3O4,0.307,0.845
CrPO4,0.306,0.570
Cs2CrCl4,0.287,0.977
Ga2CoS4,0.285,0.965
Cr2FeS4,0.271,0.962
LiAlPt2,0.229,1.139
U2CrN3,0.173,1.048
Nd(CoSi)2,0.164,0.754
CeIr2,0.138,-0.237
SF6,0.079,0.080
Ho2Cr2C3,0.071,0.621
NdBPd3,0.060,-0.166
CaCu2O3,0.052,0.528
Sm2Zr2O7,0.018,0.345
P3N5,0.017,0.424
Na2Hf2O5,0.008,0.430
ThSiO4,0.002,0.083
Fe2W,-0.002,-0.509
MnSbPd2,-0.016,-0.468
Fe3Sn2,-0.017,0.492
CeNiC2,-0.017,-0.311
MgSiN2,-0.056,0.512
Rb2Cr(BrCl)2,-0.074,0.083
CaPd3O4,-0.090,-0.390
Pr(CoSi)2,-0.102,0.042
DyIr3,-0.141,-0.471
Ti2GaC,-0.168,-0.700
ZrH3,-0.191,0.142
CrGaP2,-0.196,-0.136
P2Pb2O7,-0.198,-0.203
Ho(SiRu)2,-0.212,-1.151
V2C,-0.221,-0.645
Mg(BeN)2,-0.232,0.077
Ni2Ge,-0.233,-0.153
TbNi2,-0.302,0.024
Cs2RbInF6,-0.324,-0.214
HfPbO3,-0.324,-1.486
RbSbO3,-0.365,0.166
CuAs,-0.370,0.273
TiBiRh,-0.401,-1.887
MgS,-0.423,-0.450
DyCuSeO,-0.447,-0.703
Sc2CoRu,-0.455,-0.834
ZnCo3C,-0.461,-1.012
K2SnCl6,-0.481,-0.076
YNiSb,-0.482,-0.372
BaTiS3,-0.494,-0.775
LaCu2,-0.503,-0.624
BaTe2,-0.515,-0.869
SmMn2O5,-0.528,-1.634
LiZnAu2,-0.529,-0.457
Cs2PbCl6,-0.568,-0.222
YMg2,-0.582,0.305
TaNiGe,-0.592,-2.157
ErCdCu4,-0.614,-0.543
Sc3AlC,-0.650,-1.584
AsPdSe,-0.690,-0.608
Sc,-0.755,-2.060
Cu3P,-0.795,-1.756
Sr(ZnGe)2,-0.799,-1.181
Sc2CdAg,-0.873,-1.806
In2Se3,-0.884,-2.180
ZrGeTe,-0.888,-1.571
Ba(CdAs)2,-0.891,-1.735
CdCl2,-1.083,-2.481
HoCd3,-1.205,-1.487
TbCd3,-1.208,-1.476
