client_id,round,flops
57152045,1,464402688.0
98ea0818,1,452595840.0
ef3367d9,1,582471168.0
893705bb,1,826479360.0
57152045,2,464402688.0
b66f4f93,2,566728704.0
893705bb,2,826479360.0
25e95412,2,484080768.0
4c6944d6,3,495887616.0
b4ea0d9a,3,531308160.0
ab46af55,3,523436928.0
b5cf6ea8,3,696604032.0
ab46af55,4,523436928.0
c50f55b8,4,991775232.0
57152045,4,464402688.0
cce7416f,4,787123200.0
cce7416f,5,787123200.0
893705bb,5,826479360.0
4c6167ca,5,582471168.0
98ea0818,5,452595840.0
b4ea0d9a,6,531308160.0
ef3367d9,6,582471168.0
c1d39ce8,6,645441024.0
5ebc1cda,6,570664320.0
ddedba85,7,708410880.0
57152045,7,464402688.0
de89e2ca,7,503758848.0
c1d39ce8,7,645441024.0
57152045,8,464402688.0
c120e80e,8,488016384.0
b5cf6ea8,8,696604032.0
ab46af55,8,523436928.0
c1d39ce8,9,645441024.0
893705bb,9,826479360.0
b5cf6ea8,9,696604032.0
5f9cd2eb,9,574599936.0
4c6944d6,10,495887616.0
c120e80e,10,488016384.0
25e95412,10,484080768.0
cce7416f,10,787123200.0
ab46af55,11,523436928.0
5ebc1cda,11,570664320.0
4c6944d6,11,495887616.0
2aca1e72,11,739895808.0
98ea0818,12,452595840.0
5f9cd2eb,12,574599936.0
ddedba85,12,708410880.0
cce7416f,12,787123200.0
25e95412,13,484080768.0
893705bb,13,826479360.0
c50f55b8,13,991775232.0
c120e80e,13,488016384.0
4c6944d6,14,495887616.0
ef3367d9,14,582471168.0
25e95412,14,484080768.0
ab46af55,14,523436928.0
98ea0818,15,452595840.0
c120e80e,15,488016384.0
5f9cd2eb,15,574599936.0
ab46af55,15,523436928.0
de89e2ca,16,503758848.0
c1d39ce8,16,645441024.0
c50f55b8,16,991775232.0
b4ea0d9a,16,531308160.0
57152045,17,464402688.0
ddedba85,17,708410880.0
2aca1e72,17,739895808.0
98ea0818,17,452595840.0
b66f4f93,18,566728704.0
b5cf6ea8,18,696604032.0
cce7416f,18,787123200.0
c1d39ce8,18,645441024.0
4c6944d6,19,495887616.0
893705bb,19,826479360.0
ab46af55,19,523436928.0
5f9cd2eb,19,574599936.0
4c6944d6,20,495887616.0
ab46af55,20,523436928.0
ef3367d9,20,582471168.0
ddedba85,20,708410880.0
98ea0818,21,452595840.0
ddedba85,21,708410880.0
cce7416f,21,787123200.0
893705bb,21,826479360.0
98ea0818,22,452595840.0
893705bb,22,826479360.0
5ebc1cda,22,570664320.0
de89e2ca,22,503758848.0
c120e80e,23,488016384.0
b4ea0d9a,23,531308160.0
cce7416f,23,787123200.0
5ebc1cda,23,570664320.0
4c6944d6,24,495887616.0
4c6167ca,24,582471168.0
5f9cd2eb,24,574599936.0
b5cf6ea8,24,696604032.0
98ea0818,25,452595840.0
5f9cd2eb,25,574599936.0
25e95412,25,484080768.0
ab46af55,25,523436928.0
25e95412,26,484080768.0
b66f4f93,26,566728704.0
5ebc1cda,26,570664320.0
cce7416f,26,787123200.0
5ebc1cda,27,570664320.0
c1d39ce8,27,645441024.0
b4ea0d9a,27,531308160.0
ddedba85,27,708410880.0
c120e80e,28,488016384.0
4c6167ca,28,582471168.0
b5cf6ea8,28,696604032.0
25e95412,28,484080768.0
b66f4f93,29,566728704.0
c50f55b8,29,991775232.0
893705bb,29,826479360.0
b5cf6ea8,29,696604032.0
25e95412,30,484080768.0
c120e80e,30,488016384.0
de89e2ca,30,503758848.0
57152045,30,464402688.0
