average,median,10th percentile,90th percentile,round_number
0.15056670479359469,0.15384615384615385,0.08333333333333333,0.20833333333333334,0
0.15420609337631278,0.16,0.08333333333333333,0.22727272727272727,10
0.1623167307892274,0.16,0.09090909090909091,0.22727272727272727,20
0.16699594468129353,0.16666666666666666,0.09090909090909091,0.23828571428571432,30
0.18446500987834044,0.16666666666666666,0.09523809523809523,0.28630952380952396,40
0.2074451492149319,0.2,0.11384615384615394,0.3333333333333333,50
0.24082354164500364,0.22727272727272727,0.12989130434782611,0.375,60
0.27274617864198814,0.25,0.14761904761904765,0.4166666666666667,70
0.3032130602058854,0.2857142857142857,0.16,0.47619047619047616,80
0.33971092856400126,0.32,0.16666666666666666,0.52,90
0.36373089320994073,0.3520833333333333,0.18961038961038965,0.56,100
