average,median,10th percentile,90th percentile,round_number
0.15056670479359469,0.15384615384615385,0.08333333333333333,0.20833333333333334,0
0.225330144535718,0.17391304347826086,0.1,0.375,10
0.4428615992513258,0.25,0.125,1.0833333333333333,20
0.7463866070500156,0.43167701863354035,0.13043478260869565,1.8268115942028986,30
1.1476551939274202,0.986842105263158,0.16666666666666666,2.4586538461538465,40
1.530310907767495,1.51,0.24900000000000005,2.7316053511705687,50
1.7903712176354372,1.8333333333333333,0.3963636363636366,2.917,60
2.0641572215867736,2.1952380952380954,0.7160000000000002,3.0474637681159433,70
2.2832484142664033,2.395652173913043,1.044909090909091,3.227272727272727,80
2.461162524695851,2.587121212121212,1.32,3.3252252252252252,90
2.5774149942809608,2.7083333333333335,1.5398809523809525,3.424769230769231,100
