num_correct,num_samples,loss,client_id,round_number
8,252,3.541442632675171,c50f55b8,0
8,180,3.5399932066599527,ddedba85,0
3,148,3.546185572942098,ef3367d9,0
5,135,3.5570830504099527,b4ea0d9a,0
7,124,3.5508586168289185,c120e80e,0
5,200,3.553185820579529,cce7416f,0
7,164,3.5506929556528726,c1d39ce8,0
5,145,3.5501824220021567,5ebc1cda,0
5,128,3.5444750785827637,de89e2ca,0
3,118,3.550672173500061,57152045,0
10,210,3.544822931289673,893705bb,0
4,177,3.5401044686635337,b5cf6ea8,0
4,146,3.5474159717559814,5f9cd2eb,0
7,133,3.5526154041290283,ab46af55,0
4,123,3.536630630493164,25e95412,0
8,188,3.547074317932129,2aca1e72,0
7,148,3.5546065966288247,4c6167ca,0
7,144,3.5402094523111978,b66f4f93,0
4,126,3.5481642484664917,4c6944d6,0
3,115,3.5463322401046753,98ea0818,0
5,188,3.5428404808044434,2aca1e72,10
7,148,3.5010716120402017,4c6167ca,10
10,144,3.6148763497670493,b66f4f93,10
33,126,3.066513776779175,4c6944d6,10
12,115,3.3825559616088867,98ea0818,10
159,200,0.8758969306945801,cce7416f,10
80,164,2.039000074068705,c1d39ce8,10
17,145,3.281023899714152,5ebc1cda,10
10,128,3.486228108406067,de89e2ca,10
52,118,1.9971808791160583,57152045,10
44,252,3.1757750511169434,c50f55b8,10
22,180,3.4659504095713296,ddedba85,10
33,148,2.625448147455851,ef3367d9,10
16,135,3.0657923221588135,b4ea0d9a,10
43,124,2.750083804130554,c120e80e,10
91,210,1.908185064792633,893705bb,10
65,177,2.0765645503997803,b5cf6ea8,10
31,146,3.2584691842397056,5f9cd2eb,10
44,133,2.4781521558761597,ab46af55,10
29,123,2.980148196220398,25e95412,10
49,188,3.0360172589619956,2aca1e72,20
9,148,3.586533546447754,4c6167ca,20
40,144,2.8923564751942954,b66f4f93,20
105,126,0.7846468389034271,4c6944d6,20
33,115,2.7797170877456665,98ea0818,20
74,210,2.1042100489139557,893705bb,20
86,177,1.9714692036310832,b5cf6ea8,20
63,146,2.147223949432373,5f9cd2eb,20
85,133,0.9755141238371531,ab46af55,20
43,123,2.4707096815109253,25e95412,20
103,200,1.8146099150180817,cce7416f,20
87,164,2.053152561187744,c1d39ce8,20
40,145,2.798849582672119,5ebc1cda,20
27,128,2.9516561031341553,de89e2ca,20
52,118,1.9426347613334656,57152045,20
167,252,1.1608347296714783,c50f55b8,20
106,180,1.4411524136861165,ddedba85,20
116,148,0.8882139523824056,ef3367d9,20
20,135,3.3806773821512857,b4ea0d9a,20
68,124,1.6955660581588745,c120e80e,20
97,200,1.7388796210289001,cce7416f,30
80,164,2.368151585261027,c1d39ce8,30
70,145,1.806639035542806,5ebc1cda,30
67,128,1.5140382647514343,de89e2ca,30
74,118,1.0625956058502197,57152045,30
99,210,1.681141346693039,893705bb,30
138,177,0.8681447704633077,b5cf6ea8,30
84,146,1.6331203778584797,5f9cd2eb,30
49,133,1.9406753778457642,ab46af55,30
102,123,0.6411850452423096,25e95412,30
137,252,1.4521292746067047,c50f55b8,30
71,180,3.3249474366505942,ddedba85,30
66,148,1.6408082644144695,ef3367d9,30
47,135,2.343007961908976,b4ea0d9a,30
87,124,0.9549509882926941,c120e80e,30
31,188,3.7880643208821616,2aca1e72,30
53,148,2.6475353240966797,4c6167ca,30
63,144,2.1132450898488364,b66f4f93,30
62,126,1.6961861848831177,4c6944d6,30
33,115,2.513179063796997,98ea0818,30
