average,median,10th percentile,90th percentile,round_number
0.02227342549923195,0.02631578947368421,0.0,0.03333333333333333,0
0.5087278313084764,0.5128543177323666,0.38870967741935486,0.613151364764268,10
2.8517665130568357,2.891891891891892,2.107297297297297,3.5012820512820517,20
4.752618349392543,4.780868902439025,3.4830303030303034,5.795909090909092,30
5.488618907973747,5.589743589743589,4.242448330683625,6.421447368421053,40
6.092026253316576,6.202941176470588,4.748333333333333,7.071602787456446,50
6.4071358748778104,6.529513888888889,5.135926222935044,7.3022580645161295,60
6.642089093701997,6.757166257166258,5.375862068965517,7.5588235294117645,70
6.7942326490713585,6.926829268292683,5.6127240143369175,7.676400791034937,80
6.909928780896522,7.027027027027027,5.786233766233766,7.752272727272728,90
7.002094679514034,7.116161616161616,5.907836990595611,7.823676470588235,100
