formula,prediction,density,Peak Score,index
LiLuPt2,137.356,0.178,2.369,4478
Ca2MnO4,136.141,0.248,2.092,1030
Sr3MnN3,119.998,0.185,1.816,8007
LiB,112.101,0.181,1.642,4293
SrLi4N2,85.739,0.126,1.596,8126
Al(SnO2)2,156.446,0.266,1.444,139
TbGaRh2,169.767,0.284,1.327,8438
ErB2Rh2C,204.481,0.284,1.288,2384
LiAlPt2,146.808,0.285,1.139,4281
ScNbOs2,166.579,0.279,1.071,7384
U2CrN3,158.526,0.289,1.048,9287
Cs2CrCl4,91.315,0.236,0.977,1826
Ga2CoS4,142.667,0.267,0.965,2674
Cr2FeS4,152.069,0.275,0.962,1698
Mn3O4,144.282,0.270,0.845,5230
Ho2CF2,97.945,0.235,0.771,3185
Nd(CoSi)2,146.602,0.283,0.754,5981
Ho2Cr2C3,130.930,0.278,0.621,3189
CrPO4,137.550,0.264,0.570,1787
Hf4N3,180.195,0.287,0.567,2946
CaCu2O3,112.642,0.266,0.528,1177
MgSiN2,120.792,0.273,0.512,5115
Fe3Sn2,138.407,0.285,0.492,2587
Sr6Sn2NO,58.981,0.148,0.482,8034
MnAlRh2,177.269,0.285,0.471,5266
Na2Hf2O5,82.055,0.247,0.430,5475
P3N5,120.212,0.265,0.424,6305
LiTmIn2,57.848,0.180,0.397,4641
BeGaRh2,174.724,0.285,0.395,852
Sm2Zr2O7,94.579,0.256,0.345,7608
Nd2CdIn,59.336,0.185,0.314,6000
YMg2,75.663,0.277,0.305,9816
HoTmMg2,54.975,0.180,0.299,3325
CuAs,104.046,0.276,0.273,2091
TmHfRu2,163.754,0.277,0.248,9217
LiErGe,51.174,0.135,0.202,4381
CaSmZn2,52.124,0.183,0.201,1307
Sm2AgSn,57.338,0.181,0.200,7571
Li4UO5,72.112,0.193,0.168,4204
RbSbO3,46.448,0.239,0.166,6979
Yb2SbAu,47.286,0.170,0.164,9975
Yb2AgSn,46.886,0.177,0.152,9954
ZrH3,77.824,0.244,0.142,10471
Pr2ZnHg,52.407,0.184,0.109,6558
ThSiO4,114.323,0.267,0.083,8639
Rb2Cr(BrCl)2,60.418,0.238,0.083,6763
SF6,59.051,0.228,0.080,7074
Mg(BeN)2,108.971,0.274,0.077,4839
Pr(CoSi)2,122.798,0.282,0.042,6525
TbNi2,107.698,0.279,0.024,8458
Er2ZnRu,63.911,0.180,-0.024,2366
K2SnCl6,30.395,0.240,-0.076,3510
NdTmTl2,43.398,0.185,-0.079,6155
Li7Sn2,22.284,0.118,-0.094,4239
CrGaP2,114.981,0.278,-0.136,1766
Ni2Ge,121.386,0.284,-0.153,6171
NdBPd3,146.094,0.287,-0.166,6045
Li3Au,27.442,0.116,-0.184,4140
Rb3Mg,18.701,0.114,-0.201,6861
P2Pb2O7,91.166,0.262,-0.203,6298
Cs2RbInF6,40.059,0.235,-0.214,1888
Cs2PbCl6,25.513,0.240,-0.222,1870
CeIr2,147.937,0.279,-0.237,1545
Ca3BiSb,37.198,0.147,-0.253,1069
CeNiC2,134.534,0.279,-0.311,1560
LiTmHg2,38.114,0.180,-0.352,4640
YNiSb,76.327,0.275,-0.372,9851
CaPd3O4,104.513,0.267,-0.390,1270
Ca3Au,30.658,0.109,-0.402,1065
MgS,85.272,0.270,-0.450,5093
LiZnAu2,80.984,0.284,-0.457,4682
MnSbPd2,139.040,0.284,-0.468,5373
DyIr3,123.546,0.280,-0.471,2263
Fe2W,139.868,0.283,-0.509,2569
ErCdCu4,92.111,0.289,-0.543,2394
AsPdSe,72.293,0.279,-0.608,352
LaCu2,94.420,0.280,-0.624,3852
V2C,130.074,0.289,-0.645,9401
Ti2GaC,131.099,0.287,-0.700,8693
DyCuSeO,68.976,0.264,-0.703,2242
BaTiS3,43.394,0.248,-0.775,751
Sc2CoRu,102.565,0.281,-0.834,7168
BaTe2,27.133,0.244,-0.869,744
ZnCo3C,100.799,0.284,-1.012,10231
Ho(SiRu)2,115.745,0.284,-1.151,3178
Sr(ZnGe)2,60.779,0.280,-1.181,7904
TbCd3,28.515,0.282,-1.476,8415
HfPbO3,87.050,0.268,-1.486,3060
HoCd3,28.161,0.282,-1.487,3230
ZrGeTe,61.688,0.283,-1.571,10467
Sc3AlC,90.584,0.287,-1.584,7232
SmMn2O5,72.132,0.270,-1.634,7724
Ba(CdAs)2,49.723,0.277,-1.735,422
Cu3P,71.608,0.284,-1.756,2071
Sc2CdAg,67.966,0.283,-1.806,7161
TiBiRh,113.369,0.287,-1.887,8848
Sc,57.995,0.271,-2.060,7129
TaNiGe,95.557,0.286,-2.157,8321
In2Se3,38.212,0.265,-2.180,3346
CdCl2,11.175,0.257,-2.481,1387
