formula,prediction,density,Density Score,index
SrLi4N2,85.739,0.126,2.334,8126
LiLuPt2,137.356,0.178,1.979,4478
Ca3Au,30.658,0.109,1.967,1065
Li3Au,27.442,0.116,1.805,4140
LiErGe,51.174,0.135,1.733,4381
Rb3Mg,18.701,0.114,1.723,6861
Li7Sn2,22.284,0.118,1.700,4239
Sr3MnN3,119.998,0.185,1.633,8007
LiB,112.101,0.181,1.613,4293
Sr6Sn2NO,58.981,0.148,1.582,8034
Ca3BiSb,37.198,0.147,1.327,1069
Er2ZnRu,63.911,0.180,1.035,2366
Yb2SbAu,47.286,0.170,1.024,9975
LiTmIn2,57.848,0.180,0.952,4641
Sm2AgSn,57.338,0.181,0.937,7571
HoTmMg2,54.975,0.180,0.924,3325
Nd2CdIn,59.336,0.185,0.887,6000
Yb2AgSn,46.886,0.177,0.880,9954
Li4UO5,72.112,0.193,0.880,4204
CaSmZn2,52.124,0.183,0.838,1307
Pr2ZnHg,52.407,0.184,0.823,6558
ErB2Rh2C,204.481,0.284,0.794,2384
LiTmHg2,38.114,0.180,0.724,4640
NdTmTl2,43.398,0.185,0.680,6155
Ca2MnO4,136.141,0.248,0.636,1030
Al(SnO2)2,156.446,0.266,0.546,139
Hf4N3,180.195,0.287,0.441,2946
MnAlRh2,177.269,0.285,0.441,5266
TmHfRu2,163.754,0.277,0.433,9217
ScNbOs2,166.579,0.279,0.417,7384
BeGaRh2,174.724,0.285,0.416,852
Ho2CF2,97.945,0.235,0.404,3185
TbGaRh2,169.767,0.284,0.373,8438
Ga2CoS4,142.667,0.267,0.346,2674
CrPO4,137.550,0.264,0.344,1787
Cr2FeS4,152.069,0.275,0.311,1698
Mn3O4,144.282,0.270,0.309,5230
Cs2CrCl4,91.315,0.236,0.302,1826
CeIr2,147.937,0.279,0.186,1545
U2CrN3,158.526,0.289,0.140,9287
P3N5,120.212,0.265,0.119,6305
Nd(CoSi)2,146.602,0.283,0.107,5981
SF6,59.051,0.228,0.061,7074
LiAlPt2,146.808,0.285,0.058,4281
CeNiC2,134.534,0.279,0.029,1560
Fe2W,139.868,0.283,0.013,2569
NdBPd3,146.094,0.287,0.011,6045
CaCu2O3,112.642,0.266,0.009,1177
ThSiO4,114.323,0.267,0.008,8639
ZrH3,77.824,0.244,0.000,10471
Ho2Cr2C3,130.930,0.278,-0.000,3189
MnSbPd2,139.040,0.284,-0.014,5373
Na2Hf2O5,82.055,0.247,-0.019,5475
MgSiN2,120.792,0.273,-0.025,5115
Sm2Zr2O7,94.579,0.256,-0.036,7608
Fe3Sn2,138.407,0.285,-0.037,2587
Rb2Cr(BrCl)2,60.418,0.238,-0.118,6763
CaPd3O4,104.513,0.267,-0.119,1270
DyIr3,123.546,0.280,-0.130,2263
Ti2GaC,131.099,0.287,-0.160,8693
Pr(CoSi)2,122.798,0.282,-0.180,6525
Mg(BeN)2,108.971,0.274,-0.191,4839
P2Pb2O7,91.166,0.262,-0.192,6298
CrGaP2,114.981,0.278,-0.199,1766
V2C,130.074,0.289,-0.218,9401
Ni2Ge,121.386,0.284,-0.238,6171
CuAs,104.046,0.276,-0.291,2091
RbSbO3,46.448,0.239,-0.295,6979
TbNi2,107.698,0.279,-0.306,8458
Ho(SiRu)2,115.745,0.284,-0.307,3178
Cs2RbInF6,40.059,0.235,-0.309,1888
HfPbO3,87.050,0.268,-0.359,3060
TiBiRh,113.369,0.287,-0.396,8848
MgS,85.272,0.270,-0.408,5093
Sc2CoRu,102.565,0.281,-0.415,7168
ZnCo3C,100.799,0.284,-0.483,10231
LaCu2,94.420,0.280,-0.487,3852
DyCuSeO,68.976,0.264,-0.504,2242
K2SnCl6,30.395,0.240,-0.511,3510
BaTiS3,43.394,0.248,-0.515,751
SmMn2O5,72.132,0.270,-0.572,7724
TaNiGe,95.557,0.286,-0.581,8321
Cs2PbCl6,25.513,0.240,-0.582,1870
YNiSb,76.327,0.275,-0.608,9851
BaTe2,27.133,0.244,-0.629,744
Sc3AlC,90.584,0.287,-0.659,7232
YMg2,75.663,0.277,-0.670,9816
ErCdCu4,92.111,0.289,-0.686,2394
LiZnAu2,80.984,0.284,-0.730,4682
AsPdSe,72.293,0.279,-0.734,352
Sc,57.995,0.271,-0.761,7129
Cu3P,71.608,0.284,-0.847,2071
Sc2CdAg,67.966,0.283,-0.865,7161
In2Se3,38.212,0.265,-0.894,3346
Sr(ZnGe)2,60.779,0.280,-0.907,7904
ZrGeTe,61.688,0.283,-0.945,10467
Ba(CdAs)2,49.723,0.277,-0.976,422
CdCl2,11.175,0.257,-1.082,1387
TbCd3,28.515,0.282,-1.346,8415
HoCd3,28.161,0.282,-1.351,3230
