formula,Density Score,Peak Score
SrLi4N2,2.334,1.596
LiLuPt2,1.979,2.369
Ca3Au,1.967,-0.402
Li3Au,1.805,-0.184
LiErGe,1.733,0.202
Rb3Mg,1.723,-0.201
Li7Sn2,1.700,-0.094
Sr3MnN3,1.633,1.816
LiB,1.613,1.642
Sr6Sn2NO,1.582,0.482
Ca3BiSb,1.327,-0.253
Er2ZnRu,1.035,-0.024
Yb2SbAu,1.024,0.164
LiTmIn2,0.952,0.397
Sm2AgSn,0.937,0.200
HoTmMg2,0.924,0.299
Nd2CdIn,0.887,0.314
Yb2AgSn,0.880,0.152
Li4UO5,0.880,0.168
CaSmZn2,0.838,0.201
Pr2ZnHg,0.823,0.109
ErB2Rh2C,0.794,1.288
LiTmHg2,0.724,-0.352
NdTmTl2,0.680,-0.079
Ca2MnO4,0.636,2.092
Al(SnO2)2,0.546,1.444
Hf4N3,0.441,0.567
MnAlRh2,0.441,0.471
TmHfRu2,0.433,0.248
ScNbOs2,0.417,1.071
BeGaRh2,0.416,0.395
Ho2CF2,0.404,0.771
TbGaRh2,0.373,1.327
Ga2CoS4,0.346,0.965
CrPO4,0.344,0.570
Cr2FeS4,0.311,0.962
Mn3O4,0.309,0.845
Cs2CrCl4,0.302,0.977
CeIr2,0.186,-0.237
U2CrN3,0.140,1.048
P3N5,0.119,0.424
Nd(CoSi)2,0.107,0.754
SF6,0.061,0.080
LiAlPt2,0.058,1.139
CeNiC2,0.029,-0.311
Fe2W,0.013,-0.509
NdBPd3,0.011,-0.166
CaCu2O3,0.009,0.528
ThSiO4,0.008,0.083
ZrH3,0.000,0.142
Ho2Cr2C3,-0.000,0.621
MnSbPd2,-0.014,-0.468
Na2Hf2O5,-0.019,0.430
MgSiN2,-0.025,0.512
Sm2Zr2O7,-0.036,0.345
Fe3Sn2,-0.037,0.492
Rb2Cr(BrCl)2,-0.118,0.083
CaPd3O4,-0.119,-0.390
DyIr3,-0.130,-0.471
Ti2GaC,-0.160,-0.700
Pr(CoSi)2,-0.180,0.042
Mg(BeN)2,-0.191,0.077
P2Pb2O7,-0.192,-0.203
CrGaP2,-0.199,-0.136
V2C,-0.218,-0.645
Ni2Ge,-0.238,-0.153
CuAs,-0.291,0.273
RbSbO3,-0.295,0.166
TbNi2,-0.306,0.024
Ho(SiRu)2,-0.307,-1.151
Cs2RbInF6,-0.309,-0.214
HfPbO3,-0.359,-1.486
TiBiRh,-0.396,-1.887
MgS,-0.408,-0.450
Sc2CoRu,-0.415,-0.834
ZnCo3C,-0.483,-1.012
LaCu2,-0.487,-0.624
DyCuSeO,-0.504,-0.703
K2SnCl6,-0.511,-0.076
BaTiS3,-0.515,-0.775
SmMn2O5,-0.572,-1.634
TaNiGe,-0.581,-2.157
Cs2PbCl6,-0.582,-0.222
YNiSb,-0.608,-0.372
BaTe2,-0.629,-0.869
Sc3AlC,-0.659,-1.584
YMg2,-0.670,0.305
ErCdCu4,-0.686,-0.543
LiZnAu2,-0.730,-0.457
AsPdSe,-0.734,-0.608
Sc,-0.761,-2.060
Cu3P,-0.847,-1.756
Sc2CdAg,-0.865,-1.806
In2Se3,-0.894,-2.180
Sr(ZnGe)2,-0.907,-1.181
ZrGeTe,-0.945,-1.571
Ba(CdAs)2,-0.976,-1.735
CdCl2,-1.082,-2.481
TbCd3,-1.346,-1.476
HoCd3,-1.351,-1.487
