average,median,10th percentile,90th percentile,round_number
0.15056670479359469,0.15384615384615385,0.08333333333333333,0.20833333333333334,0
0.15306228553602994,0.15384615384615385,0.08333333333333333,0.22727272727272727,10
0.16117292294894459,0.16,0.09662058371735792,0.22727272727272727,20
0.1662680669647499,0.16064516129032258,0.09051383399209488,0.24,30
0.19080794426536343,0.19047619047619047,0.09090909090909091,0.2916666666666667,40
0.21451596131849848,0.2,0.1,0.3333333333333333,50
0.2427992097327649,0.22727272727272727,0.12,0.3921739130434785,60
0.27638556722470625,0.25,0.13043478260869565,0.45454545454545453,70
0.3091400644691692,0.2857142857142857,0.16,0.5,80
0.32910471040865136,0.3181818181818182,0.16666666666666666,0.52,90
0.3557242383279609,0.35,0.18961038961038965,0.55,100
