average,median,10th percentile,90th percentile,round_number
0.15056670479359469,0.15384615384615385,0.08333333333333333,0.20833333333333334,0
0.17448268690859936,0.16,0.11384615384615394,0.22727272727272727,10
0.24737444109389622,0.1835016835016835,0.11953846153846157,0.5,20
0.36716231673078925,0.24,0.13043478260869565,0.8033333333333341,30
0.5033794322553811,0.36363636363636365,0.13043478260869565,1.0,40
0.6806696474992201,0.5954545454545455,0.16,1.3490434782608698,50
0.863886867006343,0.8095238095238095,0.2,1.56,60
1.0632213788083602,1.08,0.25,1.834,70
1.2308412186752626,1.2456896551724137,0.35900000000000004,1.9502380952380953,80
1.37995216803577,1.4090909090909092,0.55,2.101538461538462,90
1.5204325673286887,1.5454545454545454,0.7,2.2667826086956535,100
