client_id,round,flops
ef3367d9,1,582471168.0
cce7416f,1,787123200.0
b5cf6ea8,2,696604032.0
2aca1e72,2,739895808.0
2aca1e72,3,739895808.0
cce7416f,3,787123200.0
c1d39ce8,4,645441024.0
893705bb,4,826479360.0
b5cf6ea8,5,696604032.0
cce7416f,5,787123200.0
ef3367d9,6,582471168.0
893705bb,6,826479360.0
2aca1e72,7,739895808.0
cce7416f,7,787123200.0
5f9cd2eb,8,574599936.0
c50f55b8,8,991775232.0
ef3367d9,9,582471168.0
4c6167ca,9,582471168.0
893705bb,10,826479360.0
cce7416f,10,787123200.0
5f9cd2eb,11,574599936.0
4c6167ca,11,582471168.0
5f9cd2eb,12,574599936.0
ddedba85,12,708410880.0
c1d39ce8,13,645441024.0
ddedba85,13,708410880.0
b5cf6ea8,14,696604032.0
5f9cd2eb,14,574599936.0
b5cf6ea8,15,696604032.0
c50f55b8,15,991775232.0
ef3367d9,16,582471168.0
4c6167ca,16,582471168.0
ddedba85,17,708410880.0
893705bb,17,826479360.0
ddedba85,18,708410880.0
c50f55b8,18,991775232.0
ddedba85,19,708410880.0
893705bb,19,826479360.0
5f9cd2eb,20,574599936.0
c1d39ce8,20,645441024.0
ddedba85,21,708410880.0
cce7416f,21,787123200.0
4c6167ca,22,582471168.0
cce7416f,22,787123200.0
ddedba85,23,708410880.0
cce7416f,23,787123200.0
5f9cd2eb,24,574599936.0
c50f55b8,24,991775232.0
b5cf6ea8,25,696604032.0
893705bb,25,826479360.0
893705bb,26,826479360.0
cce7416f,26,787123200.0
5f9cd2eb,27,574599936.0
4c6167ca,27,582471168.0
cce7416f,28,787123200.0
c50f55b8,28,991775232.0
ddedba85,29,708410880.0
ef3367d9,29,582471168.0
c1d39ce8,30,645441024.0
c50f55b8,30,991775232.0
ef3367d9,31,582471168.0
c1d39ce8,31,645441024.0
2aca1e72,32,739895808.0
cce7416f,32,787123200.0
cce7416f,33,787123200.0
c1d39ce8,33,645441024.0
2aca1e72,34,739895808.0
c50f55b8,34,991775232.0
893705bb,35,826479360.0
c50f55b8,35,991775232.0
c50f55b8,36,991775232.0
ef3367d9,36,582471168.0
4c6167ca,37,582471168.0
ef3367d9,37,582471168.0
2aca1e72,38,739895808.0
893705bb,38,826479360.0
ddedba85,39,708410880.0
893705bb,39,826479360.0
c1d39ce8,40,645441024.0
ddedba85,40,708410880.0
4c6167ca,41,582471168.0
2aca1e72,41,739895808.0
4c6167ca,42,582471168.0
5f9cd2eb,42,574599936.0
2aca1e72,43,739895808.0
893705bb,43,826479360.0
4c6167ca,44,582471168.0
c50f55b8,44,991775232.0
c1d39ce8,45,645441024.0
2aca1e72,45,739895808.0
b5cf6ea8,46,696604032.0
c50f55b8,46,991775232.0
ddedba85,47,708410880.0
cce7416f,47,787123200.0
ef3367d9,48,582471168.0
b5cf6ea8,48,696604032.0
ef3367d9,49,582471168.0
2aca1e72,49,739895808.0
cce7416f,50,787123200.0
c50f55b8,50,991775232.0
ef3367d9,51,582471168.0
c50f55b8,51,991775232.0
c1d39ce8,52,645441024.0
b5cf6ea8,52,696604032.0
c1d39ce8,53,645441024.0
5f9cd2eb,53,574599936.0
4c6167ca,54,582471168.0
cce7416f,54,787123200.0
4c6167ca,55,582471168.0
b5cf6ea8,55,696604032.0
b5cf6ea8,56,696604032.0
c1d39ce8,56,645441024.0
ef3367d9,57,582471168.0
b5cf6ea8,57,696604032.0
5f9cd2eb,58,574599936.0
cce7416f,58,787123200.0
4c6167ca,59,582471168.0
